lat,lon,ndvi,pot_evap_mm,precip_mm,soil_moisture,temp_max_c,wind_speed,fire_count,fire_occurred,year,month
40.25,-124.25,0.741425,152.9354477922122,204.06089354213583,0.4030582947543019,10.534505667737676,0.8420651896538922,0,0,2020,1
40.5,-124.25,0.7449250000000001,211.73085644841197,210.98410962677505,0.4044800830143755,11.077872294764404,1.246329011072542,0,0,2020,1
40.75,-124.25,0.67725,208.9644968509674,225.7535520062497,0.4045048785466019,11.549826148248483,1.6430278432106638,0,0,2020,1
40.0,-124.0,0.781875,157.95983001589775,216.1606240139058,0.4020716451829481,10.343032147807492,0.3393580333822386,0,0,2020,1
40.25,-124.0,0.7680250000000001,155.39855509996414,216.72545252895856,0.4033080890614501,9.91877542311147,0.4917396902235152,0,0,2020,1
40.5,-124.0,0.7404000000000001,167.86447539925575,222.27457417703175,0.406067709768972,10.880313061129698,0.9570240105439924,0,0,2020,1
40.75,-124.0,0.708025,211.62625029683116,264.20660196400195,0.4073709569951538,11.11937816989041,1.4280820275903956,0,0,2020,1
41.0,-124.0,0.7418,197.12578505277637,293.91423492289096,0.4091378899030788,11.447972746818325,1.605185565285168,0,0,2020,1
41.25,-124.0,0.7288,278.48484739661217,335.07011710262805,0.4095151039861863,10.411138768349929,2.020243377220352,0,0,2020,1
41.75,-124.0,0.763725,189.02610739072165,433.668217347627,0.4129761179715501,10.157070824407867,2.9272515084170005,0,0,2020,1
40.0,-123.75,0.781875,152.35675685107708,215.44434009647875,0.4014027554501769,10.511422852546955,0.2778346448592859,0,0,2020,1
40.25,-123.75,0.7680250000000001,127.07945704460144,231.96878163672,0.4052811438037503,10.485454608548082,0.4135665727139869,0,0,2020,1
40.5,-123.75,0.680475,128.2118372619152,239.54800768352055,0.4081997307397986,10.295073035455516,0.6695955939894103,0,0,2020,1
40.75,-123.75,0.6762,165.53865373134613,267.62330411530047,0.4097114686043032,9.942231996597798,1.0512905496298302,0,0,2020,1
41.0,-123.75,0.7258,182.6871670782566,298.91721783733874,0.4105913408340946,9.938590068201904,1.2007627146814532,0,0,2020,1
41.25,-123.75,0.724325,191.48990884423256,339.899058179622,0.4118203655365976,9.3412844011861,1.374037485005149,0,0,2020,1
41.5,-123.75,0.742525,174.85972493886948,376.4259579644254,0.4127076928333569,9.630674226822409,1.5670795371381965,0,0,2020,1
41.75,-123.75,0.763725,177.45172046124935,432.6489592955163,0.4145497711755897,8.686262118431841,1.8418522269730448,0,0,2020,1
38.5,-123.5,0.45155,291.73722863197327,105.39016752100494,0.3796917905089675,11.89105008033016,2.17282554467879,0,0,2020,1
38.75,-123.5,0.7629750000000001,316.78191013634205,111.76854624009636,0.3833891294335805,11.591259174962204,1.8498209578574625,0,0,2020,1
39.0,-123.5,0.7426,217.2155659645796,112.97979457831886,0.386887796463505,11.4956580623504,0.8055036062138079,0,0,2020,1
39.25,-123.5,0.68535,172.27681167423725,133.02554069614914,0.3920752309983776,11.830189907935392,0.3464695092491823,0,0,2020,1
39.5,-123.5,0.7181000000000001,158.7220784276724,151.32416291690376,0.3955056590418661,11.37065264794137,0.1333297168699834,0,0,2020,1
39.75,-123.5,0.769675,155.821081250906,166.99866084909942,0.3982110587499475,10.518419745660594,0.0420305779713482,0,0,2020,1
40.0,-123.5,0.6698000000000001,140.3040811419487,175.13929186916857,0.4822336012317288,8.77445939587011,0.3053207563541004,0,0,2020,1
40.25,-123.5,0.692825,125.52745267748833,170.22427795982864,0.4866638645049064,7.117188902824182,0.4156135468139174,0,0,2020,1
40.5,-123.5,0.62515,115.1089370250702,179.13488923168686,0.487260244225943,7.04679137199156,0.3497879210142509,0,0,2020,1
40.75,-123.5,0.702075,106.02673515677452,217.529087053304,0.4879068251579038,7.15811506702056,0.2798626279806506,0,0,2020,1
41.0,-123.5,0.62105,97.04161994159222,251.77377714372184,0.4871225715965352,5.754148963189891,0.3468142845909228,0,0,2020,1
41.25,-123.5,0.6677000000000001,90.48824943602084,277.47161938405543,0.4855881147487189,4.76206704416586,0.4740310624090672,0,0,2020,1
41.5,-123.5,0.4381,83.80989357829094,276.45262955284625,0.4744034326204688,6.1034096010270105,0.649393996387834,0,0,2020,1
41.75,-123.5,0.465,77.63183675706387,283.93793730593234,0.476663492059195,6.295960137151951,0.6197287272870394,0,0,2020,1
38.25,-123.25,0.515275,257.621131837368,70.16784577227142,0.3759199983330183,12.952112800844304,1.3583455899337653,0,0,2020,1
38.5,-123.25,0.73355,289.05139615138376,87.5893744692853,0.3788916885211903,12.172478919900868,1.5102509824458314,0,0,2020,1
38.75,-123.25,0.7629750000000001,278.5313259810209,97.07756592488792,0.3814883129571075,12.163207195651182,1.2780970789086783,0,0,2020,1
39.0,-123.25,0.7426,206.2034159898758,102.13096691823507,0.3828737453747821,12.114008183633132,0.6278746005207201,0,0,2020,1
39.25,-123.25,0.68535,185.9821435064077,117.34362571096923,0.3895289103190103,11.906375318957942,0.4082528104339846,0,0,2020,1
39.5,-123.25,0.6157,176.4308623969555,129.6207594738057,0.3958970244212818,11.340895671229248,0.2312068839385339,0,0,2020,1
39.75,-123.25,0.66915,159.25278142094612,141.6090305016091,0.4132043469336726,9.880370527698176,0.0887467943174266,0,0,2020,1
40.0,-123.25,0.6733,151.80451422929764,153.73089043951538,0.4868045724848265,6.821170117778195,0.4942684680218519,0,0,2020,1
40.25,-123.25,0.692825,144.1403515636921,139.52846332049873,0.4868982222772414,6.930628548899051,0.6825529570057218,0,0,2020,1
40.5,-123.25,0.62515,131.31392188370228,142.86846174455192,0.4883853697007702,7.078773301647573,0.4534484349059626,0,0,2020,1
40.75,-123.25,0.602425,119.06499974429607,173.11778544044998,0.4907377150750929,6.807522976783048,0.2707237863753626,0,0,2020,1
